row,subj,time,trial,stimulus,guess
169,33,1476466930785,3,OBOBOOOB,OOBOBBBB
170,33,1476466948244,4,OOOOOOBO,BBBBBBBB
171,34,1476466865498,0,OOBOOOBB,OOOOBBBB
172,34,1476466906917,1,BOBBOOBB,OOOOOOBB
173,34,1476466957289,2,OBBOOBOB,OOOOBBBO
174,34,1476466995056,3,BBOOBOBO,OOOOBBBB
175,34,1476467027637,4,BBOOBBOO,BBBBBBOO
176,35,1476466903468,0,OOBBOOOB,BBOOOOBB
177,35,1476466922458,1,BOBOBOOO,BOOOOBOB
178,35,1476466935475,2,OBBBBOOB,BBOBOOBO
179,35,1476466947377,3,BOBBBOBB,BOOBBOBB
180,35,1476466959246,4,BOBOBBOO,OBBOBOBO
181,36,1476466903979,0,BBBOBBBB,BOBBBBOB
182,36,1476466919080,1,BBBOOOOB,OBBOBOOO
183,36,1476466934319,2,BBOBBOOB,BBOOBBOB
184,36,1476466951300,3,BBOOBOBB,BBOBOBOO
185,36,1476466966152,4,OBOBBOOB,BOBBOBOB
186,37,1476466979507,0,OBOOBBBB,OOBBOOOO
187,37,1476467016608,1,OBOOBBOB,OBOOBBOO
188,37,1476467062420,2,OOBOBBBB,OBBBOBOB
189,37,1476467100493,3,OBBOBBOO,OOBBOOBB
190,37,1476467127345,4,OBOBBBBB,BOOOOOOO
191,38,1476466937257,0,BBOBBOBB,OOOBBOBB
192,38,1476466961499,1,OOBBOOBO,BBBBOOBB
193,38,1476466992523,2,OBBBBOOO,OOBOBOBO
194,38,1476467025921,3,BBBBOBBO,OOOOOOBB
195,38,1476467051690,4,OOOBOOBB,OOOOBOBO
196,39,1476466952683,0,OOBOBOOB,BBOOOOOO
197,39,1476466968880,1,OOBBOOOO,OOOOOOOO
198,39,1476466986506,2,BOOBOOBO,OOOOOOOO
199,39,1476467002536,3,BOOBBBBB,OOOOOOOB
200,39,1476467018379,4,OBOOBBOO,OOOOOOOO
201,40,1476466984815,0,BOOOBBBB,OOBOOBOO
202,40,1476467012355,1,BOOBBBOO,OBOOBOOB
203,40,1476467043701,2,OOBOOOBO,BBBBOBBO
204,40,1476467072609,3,OOOOOOBB,OBOOBOOB
205,40,1476467097684,4,OBBOBBOB,OOBBOOBO
206,41,1476467975104,0,OBBBOBOO,OOBOBBBO
207,41,1476467998871,1,BBBOOBBB,BOBOOBOB
208,41,1476468018055,2,BBBBOOOB,OBOBOBOO
209,41,1476468032838,3,BOBOOOBO,OBOBBBOO
210,41,1476468050710,4,BOBOOBBO,OOOBOBBB
211,42,1476467078490,0,BOBOBOOB,BBBOBOOB
212,42,1476467102475,1,BBBBBBOO,OBBBOBBO
213,42,1476467123091,2,OBOOOBBO,OOOBBBOB
214,42,1476467146031,3,OBBBBBOB,BBBOBOBB
215,42,1476467173987,4,BOBBOBBO,BBBOOOBB
216,43,1476477864477,0,BBOOBOOB,OBBBBOOO
217,43,1476477872860,1,BBBOOOOB,OOOOBBBB
218,43,1476477897396,2,BOBBBOOO,OOOOBBBB
219,43,1476477906716,3,OOOBOOBO,OOOOOOOO
220,43,1476477924443,4,BBOBBOBO,OOOOBBBB
221,44,1476467142924,0,BOBBBOOO,OBBOOOBO
222,44,1476467169345,1,BBBBBBBB,BBBBBBBB
223,44,1476467203413,2,OBBBBOOO,OOOBOBOO
224,44,1476467250875,3,BBOBBOOB,OBOBOOBB
225,44,1476467278873,4,OOOOOOBO,BBBOOOOB
