binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/KidAlgo/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --threads=4 --top=10000 --time=2h
-16.0907	"/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/R"
-13.4271	"/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,G"
-11.3209	"/RB,G,/RB,G,/RB,G,/RB,G,/RB,G"
-8.19465	"/RB,G/,/RB,G/,/RB,G/,/RB,G/,/RB,G/"
-14.1988	"/RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G"
-8.89896	"/RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G/"
-15.062	"/RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//"
-13.1787	"/RB,G/B/RB,G/B/RB,G/B/RB,G/B/RB,G/B/RB,G/B/RB,G/B/RB,G/B/RB,G/B"
-13.19	"/RB,G/G/RB,G/G/RB,G/G/RB,G/G/RB,G/G/RB,G/G/RB,G/G/RB,G/G/RB,G/G"
-13.19	"/RB,G/R/RB,G/R/RB,G/R/RB,G/R/RB,G/R/RB,G/R/RB,G/R/RB,G/R/RB,G/R"
-13.3779	"/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,B"
-11.6458	"/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G"
-13.9205	"/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/"
-15.8444	"/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/G"
-16.0738	"/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/R"
-10.4525	"/RB,GB,/RB,GB,/RB,GB,/RB,GB,/RB,GB"
-14.086	"/RB,GB,GB,GB,GB,GB,GB,GB,GB,G"
-15.3808	"/RB,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-6.4906	"/RB,GB/,/RB,GB/,/RB,GB/,/RB,GB/,/RB,GB/"
-13.4327	"/RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB"
-7.47807	"/RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB/"
-10.6211	"/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB"
-13.9389	"/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/"
-17.1345	"/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/B"
-16.0133	"/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/R"
-15.6521	"B,/B,/B,/B,/B,/B,/B,/B,/B,"
-13.2584	"B,/B,/B,/B,/B,/B,/B,/B,/B,/"
-14.4049	"B,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-15.8297	"B,/B,/B,/B,/B,/B,/B,/B,/B,B"
-15.8297	"B,/B,/B,/B,/B,/B,/B,/B,/B,G"
-11.774	"B,B,B,/B,B,B,/B,B,/B,/"
-12.6501	"B,B,B,B,B,B,B,B,B,"
-11.675	"B,B,B,B,B,B,B,B,B,B"
-14.849	"B,B,B,B,B,B,B,B,B,B/"
-15.2669	"B,B,B,B,B,B,B,B,B,B/B/B/B/B/B/B/B/B/"
-12.3682	"B,B,B,B,B,B,B,B,B,G"
-14.8865	"B,B,B,B,B,B,B,B,B,G/"
-15.9879	"B,B,B,B,B,B,B,B,B,GB"
-15.0893	"B,B,B,B,B,B,B,B,B,R"
-14.3658	"B,B,GB,GB,GB,GB,GB,GB,GB,GB"
-13.9466	"B,B/,B,B/,B,B/,B,B/,B,B/"
-14.0098	"B,B/,B/,B/,B/,B/,B/,B/,B/,B/"
-15.6205	"B,B//B,B//B,B//B,B//B,B//B,B//B,B//B,B//B,B/"
-12.2407	"B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/"
-14.1165	"B,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/"
-15.7265	"B,G,G,G,G,G,G,G,G,G"
-13.2523	"B,G/,B,G/,B,G/,B,G/,B,G/"
-14.5063	"B,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-15.096	"B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G/"
-14.2485	"B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//"
-12.2279	"B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/"
-14.1207	"B,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-14.2111	"B,GB,GB,GB,GB,GB,GB,GB,GB,"
-13.2293	"B,GB,GB,GB,GB,GB,GB,GB,GB,G"
-11.6103	"B,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-14.7293	"B,GB,GB,GB,GB,GB,GB,GB,GB,GB/"
-12.5249	"B,GB/,B,GB/,B,GB/,B,GB/,B,GB/"
-13.2885	"B,GB/,GB/,GB/,GB/,GB/,GB/,GB/,GB/,GB/"
-14.7867	"B,GB//B,GB//B,GB//B,GB//B,GB//B,GB//B,GB//B,GB//B,GB/"
-11.7184	"B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/"
-13.4267	"B,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/"
-15.4193	"B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/"
-16.1306	"B/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/"
-14.4841	"B/B,G/B/B,G/B/B,G/B/B,G/B/B,G/B/B,G/B/B,G/B/B,G/B/B,G/"
-15.847	"B/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/"
-13.1908	"B/B,GB/B/B,GB/B/B,GB/B/B,GB/B/B,GB/B/B,GB/B/B,GB/B/B,GB/B/B,GB/"
-15.9905	"B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/"
-13.19	"B/R,GB/B/R,GB/B/R,GB/B/R,GB/B/R,GB/B/R,GB/B/R,GB/B/R,GB/B/R,GB/"
-17.1724	"B/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/"
