binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --threads=4 --top=10000 --time=1h
-26.9361	",/RB,GB/,/RBBGB/,/RB,GB/,/RB,GB/,/RB,GB"
-26.4397	",/RB,GB/,/RBGGB/,/RB,GB/,/RB,GB/,/RB,GB"
-25.7078	",/RB,GB/,/RBRGB/,/RB,GB/,/RB,GB/,/RB,GB"
-31.1156	",/RB/GB/,/RB,GB/,/RB,GB/,/RB,GB/,/RB,GB"
-26.9361	",/RBBGB/,/RB,GB/,/RB,GB/,/RB,GB/,/RB,GB"
-26.4397	",/RBGGB/,/RB,GB/,/RB,GB/,/RB,GB/,/RB,GB"
-25.7078	",/RBRGB/,/RB,GB/,/RB,GB/,/RB,GB/,/RB,GB"
-34.8832	",B/,B/,B/,B/RB//B,B/RB//B,B/RB//B,B/RB//,/RB,"
-35.5763	",B/,B/,B/,B/RB//B,B/RB//B,B/RB//B,B/RB//,/RB,GB"
-36.2695	",B/,B/,B/,B/RB//B,B/RB//B,B/RB//B,B/RB//,/RB,GBGB"
-36.9626	",B/,B/,B/,B/RB//B,B/RB//B,B/RB//B,B/RB//,/RB,GBGBGB"
-31.0507	",B/,B/,B//RB,GB/B,B/RB//B,B/RB//B,B/RB//,/RB,"
-31.7438	",B/,B/,B//RB,GB/B,B/RB//B,B/RB//B,B/RB//,/RB,GB"
-32.437	",B/,B/,B//RB,GB/B,B/RB//B,B/RB//B,B/RB//,/RB,GBGB"
-35.5763	",B/,B/,B//RB,GB/B,B/RBB/B,B/RBB/B,B/RBB/,/RB,"
-36.2695	",B/,B/,B//RB,GB/B,B/RBB/B,B/RBB/B,B/RBB/,/RB,GB"
-36.9626	",B/,B/,B//RB,GB/B,B/RBB/B,B/RBB/B,B/RBB/,/RB,GBGB"
-31.7438	",B/,B/,B//RB,GBGB/B,B/RB//B,B/RB//B,B/RB//,/RB,"
-32.437	",B/,B/,B//RB,GBGB/B,B/RB//B,B/RB//B,B/RB//,/RB,GB"
-36.2695	",B/,B/,B//RB,GBGB/B,B/RBB/B,B/RBB/B,B/RBB/,/RB,"
-36.9626	",B/,B/,B//RB,GBGB/B,B/RBB/B,B/RBB/B,B/RBB/,/RB,GB"
-32.437	",B/,B/,B//RB,GBGBGB/B,B/RB//B,B/RB//B,B/RB//,/RB,"
-36.9626	",B/,B/,B//RB,GBGBGB/B,B/RBB/B,B/RBB/B,B/RBB/,/RB,"
-30.3684	",B/,B/,B/B,B/RB//B,B/RB//B,B/RB//B,B/RB//,/RB,"
-31.0616	",B/,B/,B/B,B/RB//B,B/RB//B,B/RB//B,B/RB//,/RB,GB"
-31.7547	",B/,B/,B/B,B/RB//B,B/RB//B,B/RB//B,B/RB//,/RB,GBGB"
-32.4478	",B/,B/,B/B,B/RB//B,B/RB//B,B/RB//B,B/RB//,/RB,GBGBGB"
-34.8832	",B/,B/,B/B,B/RBB/B,B/RBB/B,B/RBB/B,B/RBB/,/RB,"
-35.5763	",B/,B/,B/B,B/RBB/B,B/RBB/B,B/RBB/B,B/RBB/,/RB,GB"
-36.2695	",B/,B/,B/B,B/RBB/B,B/RBB/B,B/RBB/B,B/RBB/,/RB,GBGB"
-36.9626	",B/,B/,B/B,B/RBB/B,B/RBB/B,B/RBB/B,B/RBB/,/RB,GBGBGB"
-35.5763	",B/,B/,B/RB//,/RB,GB/B,B/RB//B,B/RB//,/RB,"
-36.2695	",B/,B/,B/RB//,/RB,GB/B,B/RB//B,B/RB//,/RB,GB"
-36.9626	",B/,B/,B/RB//,/RB,GB/B,B/RB//B,B/RB//,/RB,GBGB"
-36.2695	",B/,B/,B/RB//,/RB,GBGB/B,B/RB//B,B/RB//,/RB,"
-36.9626	",B/,B/,B/RB//,/RB,GBGB/B,B/RB//B,B/RB//,/RB,GB"
-36.9626	",B/,B/,B/RB//,/RB,GBGBGB/B,B/RB//B,B/RB//,/RB,"
-37.6558	",B/,B/,B/RB//,/RB,GBGBGBGB/B,B/RB//B,B/RB//,/RB,"
-35.5763	",B/,B/,B/RB//B,B/RB//,/RB,GB/B,B/RB//,/RB,"
-36.2695	",B/,B/,B/RB//B,B/RB//,/RB,GB/B,B/RB//,/RB,GB"
-36.9626	",B/,B/,B/RB//B,B/RB//,/RB,GB/B,B/RB//,/RB,GBGB"
-36.2695	",B/,B/,B/RB//B,B/RB//,/RB,GBGB/B,B/RB//,/RB,"
-36.9626	",B/,B/,B/RB//B,B/RB//,/RB,GBGB/B,B/RB//,/RB,GB"
-37.6558	",B/,B/,B/RB//B,B/RB//,/RB,GBGB/B,B/RB//,/RB,GBGB"
-36.9626	",B/,B/,B/RB//B,B/RB//,/RB,GBGBGB/B,B/RB//,/RB,"
-35.5763	",B/,B/,B/RB//B,B/RB//B,B/RB//,/RB,GB/,/RB,"
-36.2695	",B/,B/,B/RB//B,B/RB//B,B/RB//,/RB,GB/,/RB,GB"
-36.9626	",B/,B/,B/RB//B,B/RB//B,B/RB//,/RB,GB/,/RB,GBGB"
-36.2695	",B/,B/,B/RB//B,B/RB//B,B/RB//,/RB,GBGB/,/RB,"
-36.9626	",B/,B/,B/RB//B,B/RB//B,B/RB//,/RB,GBGB/,/RB,GB"
