binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/KidAlgo/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --threads=4 --top=10000 --time=2h
-13.1743  "G,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R"
-12.2638  "G,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,/RR"
-13.1646  "G,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR"
-13.7523  "G,GR,GR,GR,GR,GR,GR,GR,GR,R"
-12.0105  "G,R,G,R,G,R,G,R,G,R"
-14.6676  "G,R,R,R,R,R,R,R,R,"
-11.8976  "G,R,R,R,R,R,R,R,R,R"
-14.6563  "G,R/,R/,R/,R/,R/,R/,R/,R/,R"
-14.4485  "G,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-14.9942  "G,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,/R"
-13.3114  "G,RG,RG,RG,RG,RG,RG,RG,RG,RR"
-11.3795  "G,RR,G,RR,G,RR,G,RR,G,RR"
-14.2432  "G,RR,RR,RR,RR,RR,RR,RR,RR,R"
-11.9461  "G,RR,RR,RR,RR,RR,RR,RR,RR,RR"
-13.0395  "G/,,G/,,G/,,G/,,G/,R"
-11.2002  "G/,/,/,/,/,/,/,/,/,"
-13.097 "G/,/,/,/,/,/,/,/,/,/"
-15.3882  "G/,/,/,/,/,/,/,/,/,/R"
-13.2665  "G/,/,/,/,/,/,/,/,/,R"
-10.4071  "G/,/,G/,/,G/,/,G/,/,G/,/R"
-14.0155  "G/,//,//,//,//,//,//,//,//,/"
-11.5542  "G/,/B,G/,/B,G/,/B,G/,/B,G/,/R"
-11.5317  "G/,/G,G/,/G,G/,/G,G/,/G,G/,/R"
-12.6263  "G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/"
-13.786 "G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/B"
-13.0173  "G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G"
-16.1751  "G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/"
-10.2846  "G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/R"
-13.3396  "G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/RR"
-14.4842  "G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,R"
-10.3912  "G/,/R,/,/R,/,/R,/,/R,/,/R"
-13.0303  "G/,/R,/R,/R,/R,/R,/R,/R,/R,"
-12.5999  "G/,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-13.215 "G/,/R,/R,/R,/R,/R,/R,/R,/R,R"
-11.5369  "G/,/R,B/,/R,B/,/R,B/,/R,B/,/R"
-12.4061  "G/,/R,G,/R,G,/R,G,/R,G,/R"
-10.4086  "G/,/R,G/,/R,G/,/R,G/,/R,G/,/"
-11.5538  "G/,/R,G/,/R,G/,/R,G/,/R,G/,/B"
-11.537 "G/,/R,G/,/R,G/,/R,G/,/R,G/,/G"
-7.59132  "G/,/R,G/,/R,G/,/R,G/,/R,G/,/R"
-8.89514  "G/,/R,G/,/R,G/,/R,G/,/R,G/,/RR"
-11.7409  "G/,/R,G/,/R,G/,/R,G/,/R,G/,R"
-11.5145  "G/,/R,R/,/R,R/,/R,R/,/R,R/,/R"
-10.221 "G/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R"
-14.3041  "G/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/"
-13.594 "G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/G/,/R"
-12.3387  "G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/"
-13.3218  "G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/R"
-10.1157  "G/,/RB,G/,/RB,G/,/RB,G/,/RB,G/,/RR"
-10.1072  "G/,/RG,G/,/RG,G/,/RG,G/,/RG,G/,/RR"
-11.2978  "G/,/RG/,/RG/,/RG/,/RG/,/RG/,/RG/,/RG/,/RG/,/R"
-13.1639  "G/,/RG/,/RG/,/RG/,/RG/,/RG/,/RG/,/RG/,/RG/,/RB"
-12.4282  "G/,/RG/,/RG/,/RG/,/RG/,/RG/,/RG/,/RG/,/RG/,/RG"
-9.66304  "G/,/RG/,/RG/,/RG/,/RG/,/RG/,/RG/,/RG/,/RG/,/RR"
-8.97567  "G/,/RR,/,/RR,/,/RR,/,/RR,/,/RR"
-13.1453  "G/,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR"
-10.0809  "G/,/RR,B/,/RR,B/,/RR,B/,/RR,B/,/RR"
-11.0924  "G/,/RR,G,/RR,G,/RR,G,/RR,G,/RR"
-8.67442  "G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/R"
-10.1211  "G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RB"
-10.1149  "G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RG"
-5.88547  "G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR"
-10.0724  "G/,/RR,R/,/RR,R/,/RR,R/,/RR,R/,/RR"
-14.177 "G/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/R"
