binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G --threads=4 --top=10000 --time=1h
-15.6327	"R/,/G,R/,/G,R/,/G,R/,/G,R//,/G"
-17.3086	"R/,/G,R/,/G,R/,/G,R/,/G,R//B,B/G"
-18.0018	"R/,/G,R/,/G,R/,/G,R/,/G,R//G,G/G"
-17.6345	"R/,/G,R/,/G,R/,/G,R/,/G,R//G,R//G"
-17.3086	"R/,/G,R/,/G,R/,/G,R/,/G,R//R,R/G"
-16.288	"R/,/G,R/,/G,R/,/G,R/,/G,R/B,/G"
-14.2858	"R/,/G,R/,/G,R/,/G,R/,/G,R/B,B/G"
-16.8078	"R/,/G,R/,/G,R/,/G,R/,/G,R/G,/G"
-14.2499	"R/,/G,R/,/G,R/,/G,R/,/G,R/G,G/G"
-16.8544	"R/,/G,R/,/G,R/,/G,R/,/G,R/R,/G"
-14.2858	"R/,/G,R/,/G,R/,/G,R/,/G,R/R,R/G"
-15.1114	"R/,/G,R/,/G,R/,/G,R/,/G/,/G/,/G"
-14.2336	"R/,/G,R/,/G,R/,/G,R/,/R,R/,/G"
-16.21	"R/,/G,R/,/G,R/,/G,R/,/R/,/R/,/G"
-17.3086	"R/,/G,R/,/G,R/,/G,R/,/R/B,B/R/B,B/G"
-17.3086	"R/,/G,R/,/G,R/,/G,R/,/R/G,G/R/G,G/G"
-18.0018	"R/,/G,R/,/G,R/,/G,R/,/R/R,R/R/R,R/G"
-16.9721	"R/,/G,R/,/G,R/,/G,R/,B//G,R/,B/G"
-17.4421	"R/,/G,R/,/G,R/,/G,R/,B/G,R/,/G"
-17.4421	"R/,/G,R/,/G,R/,/G,R/,B/G,R/,B/G"
-16.6668	"R/,/G,R/,/G,R/,/G,R/,G//G,R/,G/G"
-17.4421	"R/,/G,R/,/G,R/,/G,R/,G/G,R/,/G"
-17.4421	"R/,/G,R/,/G,R/,/G,R/,G/G,R/,G/G"
-15.9736	"R/,/G,R/,/G,R/,/G,R/,R//G,R/,R/G"
-17.4421	"R/,/G,R/,/G,R/,/G,R/,R/G,R/,/G"
-17.4421	"R/,/G,R/,/G,R/,/G,R/,R/G,R/,R/G"
-15.6327	"R/,/G,R/,/G,R/,/G,R//,/G,R/,/G"
-15.6327	"R/,/G,R/,/G,R/,/G,R//,/G,R//,/G"
-17.3086	"R/,/G,R/,/G,R/,/G,R//B,B//G,R//B,B/G"
-17.3086	"R/,/G,R/,/G,R/,/G,R//B,B//G,R/B,B/G"
-18.0018	"R/,/G,R/,/G,R/,/G,R//G,G//G,R//G,G/G"
-18.0018	"R/,/G,R/,/G,R/,/G,R//G,G//G,R/G,G/G"
-17.6345	"R/,/G,R/,/G,R/,/G,R//G,R/,/G,R//G"
-17.6345	"R/,/G,R/,/G,R/,/G,R//G,R//G,R/,/G"
-19.0208	"R/,/G,R/,/G,R/,/G,R//G,R//G,R//G,R//G"
-17.3086	"R/,/G,R/,/G,R/,/G,R//R,R//G,R//R,R/G"
-17.3086	"R/,/G,R/,/G,R/,/G,R//R,R//G,R/R,R/G"
-15.9736	"R/,/G,R/,/G,R/,/G,R/B,//G,R/B,/G"
-17.4421	"R/,/G,R/,/G,R/,/G,R/B,/G,R/,/G"
-17.4421	"R/,/G,R/,/G,R/,/G,R/B,/G,R/B,/G"
-16.8078	"R/,/G,R/,/G,R/,/G,R/B,B//G,R/,/G"
-13.7209	"R/,/G,R/,/G,R/,/G,R/B,B//G,R/B,B/G"
-16.1147	"R/,/G,R/,/G,R/,/G,R/B,B/G,R/B,B/G"
-16.1147	"R/,/G,R/,/G,R/,/G,R/G,//G,R/G,/G"
-16.6668	"R/,/G,R/,/G,R/,/G,R/G,G//G,R/,/G"
-13.6869	"R/,/G,R/,/G,R/,/G,R/G,G//G,R/G,G/G"
-16.1147	"R/,/G,R/,/G,R/,/G,R/G,G/G,R/G,G/G"
-16.9721	"R/,/G,R/,/G,R/,/G,R/R,//G,R/R,/G"
-17.4421	"R/,/G,R/,/G,R/,/G,R/R,/G,R/,/G"
-17.4421	"R/,/G,R/,/G,R/,/G,R/R,/G,R/R,/G"
-16.8078	"R/,/G,R/,/G,R/,/G,R/R,R//G,R/,/G"
-13.7209	"R/,/G,R/,/G,R/,/G,R/R,R//G,R/R,R/G"
-16.1147	"R/,/G,R/,/G,R/,/G,R/R,R/G,R/R,R/G"
-15.5169	"R/,/G,R/,/G,R/,/G,R/R/,/G,R/,/G/G"
-16.6155	"R/,/G,R/,/G,R/,/G,R/R/B,B/G,R/B,B/G/G"
-17.3086	"R/,/G,R/,/G,R/,/G,R/R/G,G/G,R/G,G/G/G"
-16.6155	"R/,/G,R/,/G,R/,/G,R/R/R,R/G,R/R,R/G/G"
-15.1114	"R/,/G,R/,/G,R/,/G/,/G,R/,/G/,/G"
-16.21	"R/,/G,R/,/G,R/,/G/,/G/,/G,R/,/G"
-14.2336	"R/,/G,R/,/G,R/,/R,R/,/G,R/,/G"
-14.2336	"R/,/G,R/,/G,R/,/R,R/,/R,R/,/G"
-16.21	"R/,/G,R/,/G,R/,/R/,/G,R/,/R/,/G"
-16.21	"R/,/G,R/,/G,R/,/R/,/R/,/G,R/,/G"
-18.2894	"R/,/G,R/,/G,R/,/R/,/R/,/R/,/R/,/G"
-17.3086	"R/,/G,R/,/G,R/,/R/B,B//G,R/B,B/R/B,B/G"
-17.3086	"R/,/G,R/,/G,R/,/R/B,B/R/B,B//G,R/B,B/G"
-19.3881	"R/,/G,R/,/G,R/,/R/B,B/R/B,B/R/B,B/R/B,B/G"
-17.3086	"R/,/G,R/,/G,R/,/R/G,G//G,R/G,G/R/G,G/G"
-17.3086	"R/,/G,R/,/G,R/,/R/G,G/R/G,G//G,R/G,G/G"
-19.3881	"R/,/G,R/,/G,R/,/R/G,G/R/G,G/R/G,G/R/G,G/G"
-18.0018	"R/,/G,R/,/G,R/,/R/R,R//G,R/R,R/R/R,R/G"
-18.0018	"R/,/G,R/,/G,R/,/R/R,R/R/R,R//G,R/R,R/G"
-20.0812	"R/,/G,R/,/G,R/,/R/R,R/R/R,R/R/R,R/R/R,R/G"
-16.279	"R/,/G,R/,/G,R/,B//G,R/,B//G,R/,B/G"
-17.4421	"R/,/G,R/,/G,R/,B/G,R/,/G,R/,/G"
-17.4421	"R/,/G,R/,/G,R/,B/G,R/,/G,R/,B/G"
-17.4421	"R/,/G,R/,/G,R/,B/G,R/,B/G,R/,/G"
-17.4421	"R/,/G,R/,/G,R/,B/G,R/,B/G,R/,B/G"
-15.9736	"R/,/G,R/,/G,R/,G//G,R/,G//G,R/,G/G"
-17.4421	"R/,/G,R/,/G,R/,G/G,R/,/G,R/,/G"
-17.4421	"R/,/G,R/,/G,R/,G/G,R/,/G,R/,G/G"
-17.4421	"R/,/G,R/,/G,R/,G/G,R/,G/G,R/,/G"
-17.4421	"R/,/G,R/,/G,R/,G/G,R/,G/G,R/,G/G"
-15.2805	"R/,/G,R/,/G,R/,R//G,R/,R//G,R/,R/G"
-17.4421	"R/,/G,R/,/G,R/,R/G,R/,/G,R/,/G"
-17.4421	"R/,/G,R/,/G,R/,R/G,R/,/G,R/,R/G"
-17.4421	"R/,/G,R/,/G,R/,R/G,R/,R/G,R/,/G"
-17.4421	"R/,/G,R/,/G,R/,R/G,R/,R/G,R/,R/G"
