binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --threads=4 --top=10000 --time=1h
-14.1994	"G/,/RR,G/,/RR,G/R,R/RR/R,G/R,R/RR/R,G/R,R/RR"
-15.5857	"G/,/RR,G/,/RR,R/,/RR,G/,/RR,G/,/RR"
-15.5857	"G/,/RR,G/,/RR,R/,/RR,G/,/RR,R/,/RR"
-15.5857	"G/,/RR,G/,/RR,R/,/RR,R/,/RR,G/,/RR"
-15.5857	"G/,/RR,G/,/RR,R/,/RR,R/,/RR,R/,/RR"
-14.5741	"G/,/RR,G/,/RR/,G/,/RR,G/,/RR,G/,/RR"
-14.5741	"G/,/RR,G/,/RR/,G/,/RR,G/,/RR/,G/,/RR"
-14.5741	"G/,/RR,G/,/RR/,G/,/RR/,G/,/RR,G/,/RR"
-14.5741	"G/,/RR,G/,/RR/,G/,/RR/,G/,/RR/,G/,/RR"
-15.5857	"G/,/RR,G/,/RRB,G/,/RR,G/,/RR,G/,/RR"
-15.5857	"G/,/RR,G/,/RRB,G/,/RR,G/,/RRB,G/,/RR"
-15.5857	"G/,/RR,G/,/RRB,G/,/RRB,G/,/RR,G/,/RR"
-15.5857	"G/,/RR,G/,/RRB,G/,/RRB,G/,/RRB,G/,/RR"
-15.5857	"G/,/RR,G/,/RRG,G/,/RR,G/,/RR,G/,/RR"
-15.5857	"G/,/RR,G/,/RRG,G/,/RR,G/,/RRG,G/,/RR"
-15.5857	"G/,/RR,G/,/RRG,G/,/RRG,G/,/RR,G/,/RR"
-15.5857	"G/,/RR,G/,/RRG,G/,/RRG,G/,/RRG,G/,/RR"
-15.5857	"G/,/RR,G/,/RRR,G/,/RR,G/,/RR,G/,/RR"
-15.5857	"G/,/RR,G/,/RRR,G/,/RR,G/,/RRR,G/,/RR"
-15.5857	"G/,/RR,G/,/RRR,G/,/RRR,G/,/RR,G/,/RR"
-15.5857	"G/,/RR,G/,/RRR,G/,/RRR,G/,/RRR,G/,/RR"
-13.3188	"G/,/RR,G//,/RR,G/,/RR,G/,/RR,G/,/RR"
-13.3188	"G/,/RR,G//,/RR,G/,/RR,G/,/RR,G//,/RR"
-13.3188	"G/,/RR,G//,/RR,G/,/RR,G//,/RR,G/,/RR"
-13.3188	"G/,/RR,G//,/RR,G/,/RR,G//,/RR,G//,/RR"
-13.3188	"G/,/RR,G//,/RR,G//,/RR,G/,/RR,G/,/RR"
-13.3188	"G/,/RR,G//,/RR,G//,/RR,G/,/RR,G//,/RR"
-13.3188	"G/,/RR,G//,/RR,G//,/RR,G//,/RR,G/,/RR"
-13.3188	"G/,/RR,G//,/RR,G//,/RR,G//,/RR,G//,/RR"
-20.0323	"G/,/RR,G//RR,G/,/RR,G/,/RR,G/,/RR,G//RR"
-20.0323	"G/,/RR,G//RR,G/,/RR,G/,/RR,G//RR,G/,/RR"
-21.4186	"G/,/RR,G//RR,G/,/RR,G/,/RR,G//RR,G//RR,G//RR"
-20.0323	"G/,/RR,G//RR,G/,/RR,G//RR,G/,/RR,G/,/RR"
-21.4186	"G/,/RR,G//RR,G/,/RR,G//RR,G/,/RR,G//RR,G//RR"
-21.4186	"G/,/RR,G//RR,G/,/RR,G//RR,G//RR,G/,/RR,G//RR"
-21.4186	"G/,/RR,G//RR,G/,/RR,G//RR,G//RR,G//RR,G/,/RR"
-22.8049	"G/,/RR,G//RR,G/,/RR,G//RR,G//RR,G//RR,G//RR,G//RR"
-20.0323	"G/,/RR,G//RR,G//RR,G/,/RR,G/,/RR,G/,/RR"
-21.4186	"G/,/RR,G//RR,G//RR,G/,/RR,G/,/RR,G//RR,G//RR"
-21.4186	"G/,/RR,G//RR,G//RR,G/,/RR,G//RR,G/,/RR,G//RR"
-21.4186	"G/,/RR,G//RR,G//RR,G/,/RR,G//RR,G//RR,G/,/RR"
-22.8049	"G/,/RR,G//RR,G//RR,G/,/RR,G//RR,G//RR,G//RR,G//RR"
-21.4186	"G/,/RR,G//RR,G//RR,G//RR,G/,/RR,G/,/RR,G//RR"
-21.4186	"G/,/RR,G//RR,G//RR,G//RR,G/,/RR,G//RR,G/,/RR"
-22.8049	"G/,/RR,G//RR,G//RR,G//RR,G/,/RR,G//RR,G//RR,G//RR"
-21.4186	"G/,/RR,G//RR,G//RR,G//RR,G//RR,G/,/RR,G/,/RR"
-22.8049	"G/,/RR,G//RR,G//RR,G//RR,G//RR,G/,/RR,G//RR,G//RR"
-22.8049	"G/,/RR,G//RR,G//RR,G//RR,G//RR,G//RR,G/,/RR,G//RR"
-22.8049	"G/,/RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G/,/RR"
-13.794	"G/,/RR,G/B,B/RR/B,G/B,B/RR/B,G/B,B/RR/B,G/B,B/RR"
-13.794	"G/,/RR,G/G,G/RR/G,G/G,G/RR/G,G/G,G/RR/G,G/G,G/RR"
-13.5063	"G/,/RR,G/R,R/RR/R,G/R,R/RR/R,G/R,R/RR/R,G/R,R/RR"
-15.5857	"G/,/RR,R/,/RR,G/,/RR,G/,/RR,G/,/RR"
-15.5857	"G/,/RR,R/,/RR,G/,/RR,G/,/RR,R/,/RR"
-15.5857	"G/,/RR,R/,/RR,G/,/RR,R/,/RR,G/,/RR"
-15.5857	"G/,/RR,R/,/RR,G/,/RR,R/,/RR,R/,/RR"
-15.5857	"G/,/RR,R/,/RR,R/,/RR,G/,/RR,G/,/RR"
-15.5857	"G/,/RR,R/,/RR,R/,/RR,G/,/RR,R/,/RR"
-15.5857	"G/,/RR,R/,/RR,R/,/RR,R/,/RR,G/,/RR"
-15.5857	"G/,/RR,R/,/RR,R/,/RR,R/,/RR,R/,/RR"
-14.5741	"G/,/RR/,G/,/RR,G/,/RR,G/,/RR,G/,/RR"
-14.5741	"G/,/RR/,G/,/RR,G/,/RR,G/,/RR/,G/,/RR"
-14.5741	"G/,/RR/,G/,/RR,G/,/RR/,G/,/RR,G/,/RR"
-14.5741	"G/,/RR/,G/,/RR,G/,/RR/,G/,/RR/,G/,/RR"
