binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/KidAlgo/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G --threads=4 --top=10000 --time=2h
-14.2829	"R/,/,/,/,/,/,/,/,/,G"
-11.354	"R/,/,R/,/,R/,/,R/,/,R/,/"
-9.12201	"R/,/,R/,/,R/,/,R/,/,R/,/G"
-13.2529	"R/,//,//,//,//,//,//,//,//,/"
-14.8028	"R/,//,//,//,//,//,//,//,//,/G"
-10.5749	"R/,/B,R/,/B,R/,/B,R/,/B,R/,/G"
-9.12201	"R/,/G,/,/G,/,/G,/,/G,/,/G"
-15.3897	"R/,/G,/G,/G,/G,/G,/G,/G,/G,"
-11.7301	"R/,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-14.2156	"R/,/G,/G,/G,/G,/G,/G,/G,/G,G"
-10.5749	"R/,/G,B/,/G,B/,/G,B/,/G,B/,/G"
-10.5523	"R/,/G,G/,/G,G/,/G,G/,/G,G/,/G"
-11.4423	"R/,/G,R,/G,R,/G,R,/G,R,/G"
-9.13323	"R/,/G,R/,/G,R/,/G,R/,/G,R/,/"
-10.5855	"R/,/G,R/,/G,R/,/G,R/,/G,R/,/B"
-6.23602	"R/,/G,R/,/G,R/,/G,R/,/G,R/,/G"
-10.5687	"R/,/G,R/,/G,R/,/G,R/,/G,R/,/R"
-10.7915	"R/,/G,R/,/G,R/,/G,R/,/G,R/,G"
-9.89441	"R/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G"
-12.6276	"R/,/G/R/,/G/R/,/G/R/,/G/R/,/G/R/,/G/R/,/G/R/,/G/R/,/G"
-10.035	"R/,/GR/,/GR/,/GR/,/GR/,/GR/,/GR/,/GR/,/GR/,/G"
-16.8105	"R/,/R,/R,/R,/R,/R,/R,/R,/R,/G"
-10.5523	"R/,/R,R/,/R,R/,/R,R/,/R,R/,/G"
-11.9108	"R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/"
-13.4096	"R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/B"
-9.89441	"R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/G"
-12.6156	"R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R"
-14.2586	"R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,G"
-12.9433	"R/,B,R/,B,R/,B,R/,B,R/,G"
-11.7168	"R/,G,/,G,/,G,/,G,/,G"
-12.9433	"R/,G,B/,G,B/,G,B/,G,B/,G"
-14.019	"R/,G,G,G,G,G,G,G,G,G"
-13.1735	"R/,G,G/,G,G/,G,G/,G,G/,G"
-13.5527	"R/,G,R,G,R,G,R,G,R,G"
-11.7658	"R/,G,R/,G,R/,G,R/,G,R/,"
