'λx.not(size1(x.arg))'	0:not(%s);0:size1(%s);1:%s.arg;2:x
'λx.or(size1(x.arg),triangle(x.arg))'	0:or(%s,%s);0:size1(%s);1:%s.arg;2:x;0:triangle(%s);1:%s.arg;2:x
'λx.nand(yellow(x.arg),rectangle(x.arg))'	0:nand(%s,%s);0:yellow(%s);1:%s.arg;2:x;0:rectangle(%s);1:%s.arg;2:x
'λx.nand(size1(x.arg),blue(x.arg))'	0:nand(%s,%s);0:size1(%s);1:%s.arg;2:x;0:blue(%s);1:%s.arg;2:x
'λx.nor(triangle(x.arg),size1(x.arg))'	0:nor(%s,%s);0:triangle(%s);1:%s.arg;2:x;0:size1(%s);1:%s.arg;2:x
'λx.nand(green(x.arg),yellow(x.arg))'	0:nand(%s,%s);0:green(%s);1:%s.arg;2:x;0:yellow(%s);1:%s.arg;2:x
'λx.implies(blue(x.arg),size1(x.arg))'	0:implies(%s,%s);0:blue(%s);1:%s.arg;2:x;0:size1(%s);1:%s.arg;2:x
'λx.nor(rectangle(x.arg),blue(x.arg))'	0:nor(%s,%s);0:rectangle(%s);1:%s.arg;2:x;0:blue(%s);1:%s.arg;2:x
'λx.nor(green(x.arg),triangle(x.arg))'	0:nor(%s,%s);0:green(%s);1:%s.arg;2:x;0:triangle(%s);1:%s.arg;2:x
'λx.and(yellow(x.arg),yellow(x.arg))'	0:and(%s,%s);0:yellow(%s);1:%s.arg;2:x;0:yellow(%s);1:%s.arg;2:x
'λx.or(size2(x.arg),size2(x.arg))'	0:or(%s,%s);0:size2(%s);1:%s.arg;2:x;0:size2(%s);1:%s.arg;2:x
'λx.nor(green(x.arg),circle(x.arg))'	0:nor(%s,%s);0:green(%s);1:%s.arg;2:x;0:circle(%s);1:%s.arg;2:x
'λx.nand(green(x.arg),green(x.arg))'	0:nand(%s,%s);0:green(%s);1:%s.arg;2:x;0:green(%s);1:%s.arg;2:x
